driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Lewis Hamilton,AUS,,,,,28.0,1.2173913043478262,5.83840359359809,0.0,21,2017
 Lewis Hamilton,CHN,21.0,,,,28.0,1.2173913043478262,5.83840359359809,,28,2017
 Lewis Hamilton,BHR,28.0,21.0,,,28.0,1.2173913043478262,5.83840359359809,28.0,21,2017
 Lewis Hamilton,RUS,21.0,28.0,21.0,,28.0,1.2173913043478262,5.83840359359809,0.0,12,2017
 Lewis Hamilton,ESP,12.0,21.0,28.0,21.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,MON,28.0,12.0,21.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,6,2017
 Lewis Hamilton,CAN,6.0,28.0,12.0,21.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,AZE,28.0,6.0,28.0,12.0,28.0,1.2173913043478262,5.83840359359809,0.0,10,2017
 Lewis Hamilton,AUT,10.0,28.0,6.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,12,2017
 Lewis Hamilton,GBR,12.0,10.0,28.0,6.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,HUN,28.0,12.0,10.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,12,2017
 Lewis Hamilton,BEL,12.0,28.0,12.0,10.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,ITA,28.0,12.0,28.0,12.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,SIN,28.0,28.0,12.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,MAL,28.0,28.0,28.0,12.0,28.0,1.2173913043478262,5.83840359359809,,21,2017
 Lewis Hamilton,JPN,21.0,28.0,28.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,USA,28.0,21.0,28.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,28,2017
 Lewis Hamilton,MEX,28.0,28.0,21.0,28.0,28.0,1.2173913043478262,5.83840359359809,,2,2017
 Lewis Hamilton,BRA,2.0,28.0,28.0,21.0,28.0,1.2173913043478262,5.83840359359809,,12,2017
 Lewis Hamilton,ABU,12.0,2.0,28.0,28.0,28.0,1.2173913043478262,5.83840359359809,0.0,18,2017
 Sebastian Vettel,AUS,,,,,0.0,0.0,0.0,0.0,28,2017
 Sebastian Vettel,CHN,28.0,,,,0.0,0.0,0.0,,21,2017
 Sebastian Vettel,BHR,21.0,28.0,,,0.0,0.0,0.0,0.0,28,2017
 Sebastian Vettel,RUS,28.0,21.0,28.0,,0.0,0.0,0.0,0.0,21,2017
 Sebastian Vettel,ESP,21.0,28.0,21.0,28.0,0.0,0.0,0.0,0.0,21,2017
 Sebastian Vettel,MON,21.0,21.0,28.0,21.0,0.0,0.0,0.0,0.0,28,2017
 Sebastian Vettel,CAN,28.0,21.0,21.0,28.0,0.0,0.0,0.0,0.0,15,2017
 Sebastian Vettel,AZE,15.0,28.0,21.0,21.0,0.0,0.0,0.0,0.0,15,2017
 Sebastian Vettel,AUT,15.0,15.0,28.0,21.0,0.0,0.0,0.0,0.0,21,2017
 Sebastian Vettel,GBR,21.0,15.0,15.0,28.0,0.0,0.0,0.0,0.0,6,2017
 Sebastian Vettel,HUN,6.0,21.0,15.0,15.0,0.0,0.0,0.0,0.0,28,2017
 Sebastian Vettel,BEL,28.0,6.0,21.0,15.0,0.0,0.0,0.0,0.0,21,2017
 Sebastian Vettel,ITA,21.0,28.0,6.0,21.0,0.0,0.0,0.0,0.0,18,2017
 Sebastian Vettel,SIN,18.0,21.0,28.0,6.0,0.0,0.0,0.0,0.0,0,2017
 Sebastian Vettel,MAL,0.0,18.0,21.0,28.0,0.0,0.0,0.0,,15,2017
 Sebastian Vettel,JPN,15.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,0,2017
 Sebastian Vettel,USA,0.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,21,2017
 Sebastian Vettel,MEX,21.0,0.0,15.0,0.0,0.0,0.0,0.0,,12,2017
 Sebastian Vettel,BRA,12.0,21.0,0.0,15.0,0.0,0.0,0.0,,28,2017
 Sebastian Vettel,ABU,28.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,18,2017
