Driver,AUS,CHN,BHR,RUS,ESP,MON,CAN,AZE,AUT,GBR,HUN,BEL,ITA,SIN,MAL,JPN,USA,MEX,BRA,ABU,Year,FRA,GER
 Lewis Hamilton,21,28,21,12,28,6,28,10,12,28,12,28,28,28,21.0,28,28,2,12,18,2017,,
 Sebastian Vettel,28,21,28,21,21,28,15,15,21,6,28,21,18,0,15.0,0,21,12,28,18,2017,,
 Valtteri Bottas,15,8,15,28,0,15,18,21,28,18,18,10,18,15,10.0,12,10,21,21,28,2017,,
 Kimi Räikkönen,12,10,12,15,0,18,6,0,10,18,18,12,10,0,0.0,13,15,18,15,12,2017,,
 Daniel Ricciardo,0,12,13,0,18,18,18,28,18,10,0,18,15,21,15.0,15,0,0,8,0,2017,,
 Max Verstappen,13,18,0,13,0,10,0,0,0,15,13,0,1,0,28.0,21,15,28,13,13,2017,,
 Sergio Pérez,9,5,9,11,15,0,13,0,9,2,7,0,2,13,11.0,6,4,6,5,9,2017,,
 Esteban Ocon,1,1,1,6,10,3,8,11,4,7,2,5,11,1,1.0,11,11,13,0,4,2017,,
 Carlos Sainz Jr.,7,9,0,1,6,11,0,7,0,0,9,1,0,15,0.0,0,9,0,0,0,2017,,
 Nico Hülkenberg,0,0,5,7,11,0,7,0,3,11,0,11,3,0,3.0,0,0,0,4,11,2017,,
 Felipe Massa,11,3,11,5,3,5,0,0,5,4,0,7,4,0,2.0,4,5,0,9,4,2017,,
 Lance Stroll,0,0,0,0,0,0,5,18,1,0,3,0,9,7,7.0,0,0,11,0,0,2017,,
 Romain Grosjean,0,0,7,0,4,7,4,0,11,0,0,9,0,5,0.0,2,3,0,3,3,2017,,
 Kevin Magnussen,0,7,0,3,0,1,0,9,0,3,3,0,3,0,3.0,7,0,7,0,0,2017,,
 Fernando Alonso,0,0,3,0,3,0,0,5,0,0,11,0,3,0,0.0,3,0,4,7,5,2017,,
 Stoffel Vandoorne,3,0,0,3,0,0,3,0,3,3,1,3,0,9,9.0,0,3,0,0,0,2017,,
 Jolyon Palmer,0,0,3,0,0,0,3,0,3,0,0,0,0,8,3.0,3,0,0,0,0,2017,,
 Pascal Wehrlein,0,0,3,0,7,0,0,4,3,0,3,0,3,3,3.0,3,0,3,0,3,2017,,
 Daniil Kvyat,2,0,3,0,2,0,0,0,3,3,0,0,3,0,0.0,0,1,0,0,0,2017,,
 Marcus Ericsson,0,3,0,3,0,0,3,0,0,3,0,3,0,0,0.0,0,3,0,3,0,2017,,
 Pierre Gasly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3,0,3,0,3,2017,,
 Antonio Giovinazzi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2017,,
 Brendon Hartley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,2017,,
 Jenson Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2017,,
 Paul di Resta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2017,,
